ei_1,ei_2,ei_3,ei_4,ei_5,D_star,Ar_i
0.0,0.14927175760178668,0.8507282423982138,0.0,0.0,3.0,0.92
0.0,0.30033803276705506,0.6492428292233154,0.05041913800962959,0.0,3.0,0.75
0.0,0.07454030400943028,0.8529400118522736,0.0725196841382965,0.0,3.0,0.75
0.0,0.06892623170383985,0.9155988921352877,0.015474876160872647,0.0,3.0,0.92
0.0,0.08663618053124073,0.9133638194687596,0.0,0.0,3.0,0.62
0.0,1.6906682686177217e-06,0.8349223797735423,0.1650759295581893,0.0,3.0,0.62
0.0,1.5095853408413668e-06,0.9393371729360115,0.06066131747864759,0.0,3.0,0.75
0.0,1.6906682686177217e-06,0.8349223797735423,0.1650759295581893,0.0,3.0,0.92
0.0,1.667296588850311e-06,0.850043895070998,0.14995443763241365,0.0,3.0,0.92
0.0,2.778835095638456e-06,0.8500424776105164,0.14995474355438823,0.0,3.0,0.75
0.0,1.8782881597811524e-06,0.9343246261476917,0.06567349556414902,0.0,3.0,0.92
0.0,1.6906682686177217e-06,0.8349223797735423,0.1650759295581893,0.0,3.0,0.75
0.0,1.5799330532363633e-06,0.9065682464814663,0.0934301735854806,0.0,3.0,0.92
0.0,0.14927175760178668,0.8507282423982138,0.0,0.0,3.0,1.0
0.0,0.06892623170383985,0.9155988921352877,0.015474876160872647,0.0,3.0,1.0
0.0,0.013898633183313398,0.9861013668166868,0.0,0.0,3.0,1.0
0.0,0.14927233095940248,0.850727669040598,0.0,0.0,3.0,0.75
0.0,0.14927175760178668,0.8507282423982138,0.0,0.0,3.0,0.75
0.0,0.14927175760178668,0.8507282423982138,0.0,0.0,3.0,0.88
0.0,0.1492729043176618,0.8507270956823388,0.0,0.0,3.0,0.87
0.0,1.7223485502564809e-06,0.9861010920327067,0.013897185618743252,0.0,3.0,0.88
0.0,2.7132878797652436e-06,0.8754213940884095,0.12457589262371141,0.0,3.0,0.87
0.0,0.1492729043176618,0.8507270956823388,0.0,0.0,3.0,0.87
0.0,0.013898633183313398,0.9861013668166868,0.0,0.0,3.0,0.87
